dataset,xwhich,xvarchar,xvardt,yval,yvllb,text
gp,2,,18293,19147,Home Visit,01 Feb 20
gp,2,,18293,501563,Telephone,01 Feb 20
gp,2,,18293,199920,Unknown,01 Feb 20
gp,2,,18293,9829,Video/Online,01 Feb 20
gp,2,,18322,1995200,Face-to-Face,01 Mar 20
gp,2,,18322,13841,Home Visit,01 Mar 20
gp,2,,18322,1108553,Telephone,01 Mar 20
gp,2,,18322,205623,Unknown,01 Mar 20
gp,2,,18322,6806,Video/Online,01 Mar 20
gp,2,,18353,797449,Face-to-Face,01 Apr 20
gp,2,,18353,8057,Home Visit,01 Apr 20
gp,2,,18353,1271841,Telephone,01 Apr 20
gp,2,,18353,126127,Unknown,01 Apr 20
gp,2,,18353,1321,Video/Online,01 Apr 20
gp,2,,18383,871728,Face-to-Face,01 May 20
gp,2,,18383,8278,Home Visit,01 May 20
gp,2,,18383,1281249,Telephone,01 May 20
gp,2,,18383,131724,Unknown,01 May 20
gp,2,,18383,2569,Video/Online,01 May 20
gp,2,,18414,1191383,Face-to-Face,01 Jun 20
gp,2,,18414,11115,Home Visit,01 Jun 20
gp,2,,18414,1552191,Telephone,01 Jun 20
gp,2,,18414,159220,Unknown,01 Jun 20
gp,2,,18414,5934,Video/Online,01 Jun 20
gp,2,,18444,1403213,Face-to-Face,01 Jul 20
gp,2,,18444,11471,Home Visit,01 Jul 20
gp,2,,18444,1613093,Telephone,01 Jul 20
gp,2,,18444,168475,Unknown,01 Jul 20
gp,2,,18444,12554,Video/Online,01 Jul 20
gp,2,,18475,1322074,Face-to-Face,01 Aug 20
gp,2,,18475,10058,Home Visit,01 Aug 20
gp,2,,18475,1408765,Telephone,01 Aug 20
gp,2,,18475,130171,Unknown,01 Aug 20
gp,2,,18475,13350,Video/Online,01 Aug 20
aq_no2,2,,16467,64.69583333333325,,Feb 15
aq_no2,2,,16495,55.8028225806452,,Mar 15
aq_no2,2,,16526,56.16138888888891,,Apr 15
aq_no2,2,,16556,48.55779569892472,,May 15
aq_no2,2,,16587,50.52902777777782,,Jun 15
aq_no2,2,,16617,49.50053763440859,,Jul 15
aq_no2,2,,16648,49.004838709677394,,Aug 15
aq_no2,2,,16679,56.971666666666614,,Sep 15
aq_no2,2,,16709,58.51706989247306,,Oct 15
aq_no2,2,,16740,53.93208333333332,,Nov 15
aq_no2,2,,16770,47.17486559139782,,Dec 15
aq_no2,2,,16801,60.036827956989285,,Jan 16
aq_no2,2,,16832,58.68160919540234,,Feb 16
aq_no2,2,,16861,57.60510752688172,,Mar 16
aq_no2,2,,16892,58.78333333333329,,Apr 16
aq_no2,2,,16922,50.93481182795705,,May 16
aq_no2,2,,16953,48.74187500000005,,Jun 16
aq_no2,2,,16983,45.445295698924724,,Jul 16
aq_no2,2,,17014,47.58696236559144,,Aug 16
aq_no2,2,,17045,54.71513888888886,,Sep 16
aq_no2,2,,17075,58.28279569892472,,Oct 16
aq_no2,2,,17106,66.13777777777774,,Nov 16
aq_no2,2,,17136,69.72190860215052,,Dec 16
aq_no2,2,,17167,71.74166666666662,,Jan 17
aq_no2,2,,17198,54.693005952380894,,Feb 17
aq_no2,2,,17226,52.86411290322581,,Mar 17
aq_no2,2,,17257,51.14361111111108,,Apr 17
aq_no2,2,,17287,47.41505376344085,,May 17
aq_no2,2,,17318,45.571249999999964,,Jun 17
aq_no2,2,,17348,41.98454301075271,,Jul 17
aq_no2,2,,17379,44.25698924731179,,Aug 17
aq_no2,2,,17410,47.83458333333331,,Sep 17
aq_no2,2,,17440,47.443279569892496,,Oct 17
aq_no2,2,,17471,57.014583333333334,,Nov 17
aq_no2,2,,17501,52.85268817204303,,Dec 17
aq_no2,2,,17532,47.2877688172043,,Jan 18
aq_no2,2,,17563,51.4686011904762,,Feb 18
aq_no2,2,,17591,51.06962365591391,,Mar 18
aq_no2,2,,17622,46.778055555555525,,Apr 18
aq_no2,2,,17652,49.31505376344086,,May 18
aq_no2,2,,17683,39.40513888888883,,Jun 18
aq_no2,2,,17713,45.51209677419356,,Jul 18
aq_no2,2,,17744,39.20994623655913,,Aug 18
aq_no2,2,,17775,44.34819444444443,,Sep 18
aq_no2,2,,17805,47.6215053763441,,Oct 18
aq_no2,2,,17836,48.08958333333335,,Nov 18
aq_no2,2,,17866,48.46048387096772,,Dec 18
aq_no2,2,,17897,54.53361111111115,,Jan 19
aq_no2,2,,17928,56.95907738095237,,Feb 19
aq_no2,2,,17956,42.57540322580649,,Mar 19
aq_no2,2,,17987,46.22375000000005,,Apr 19
aq_no2,2,,18017,39.66572580645162,,May 19
aq_no2,2,,18048,34.86013888888886,,Jun 19
aq_no2,2,,18078,36.190053763440844,,Jul 19
aq_pm,2,,16467,28.16249999999999,,Feb 15
aq_pm,2,,16495,31.15456989247309,,Mar 15
aq_pm,2,,16526,25.544583333333357,,Apr 15
aq_pm,2,,16556,20.13508064516128,,May 15
aq_pm,2,,16587,22.599583333333335,,Jun 15
aq_pm,2,,16617,20.00645161290323,,Jul 15
aq_pm,2,,16648,20.514247311827972,,Aug 15
aq_pm,2,,16679,20.42486111111111,,Sep 15
aq_pm,2,,16709,26.014247311827937,,Oct 15
aq_pm,2,,16740,21.824722222222206,,Nov 15
aq_pm,2,,16770,24.14704301075268,,Dec 15
aq_pm,2,,16801,23.206989247311824,,Jan 16
aq_pm,2,,16832,23.089655172413774,,Feb 16
aq_pm,2,,16861,26.07150537634409,,Mar 16
aq_pm,2,,16892,21.074861111111115,,Apr 16
aq_pm,2,,16922,22.38467741935483,,May 16
aq_pm,2,,16953,21.27659722222221,,Jun 16
aq_pm,2,,16983,16.991129032258073,,Jul 16
aq_pm,2,,17014,20.73387096774192,,Aug 16
aq_pm,2,,17045,21.541388888888914,,Sep 16
aq_pm,2,,17075,24.327822580645122,,Oct 16
aq_pm,2,,17106,24.587777777777784,,Nov 16
aq_pm,2,,17136,33.17930107526886,,Dec 16
aq_pm,2,,17167,31.25430107526879,,Jan 17
aq_pm,2,,17198,25.618005952380962,,Feb 17
aq_pm,2,,17226,23.054435483870982,,Mar 17
aq_pm,2,,17257,22.397916666666674,,Apr 17
aq_pm,2,,17287,22.330645161290306,,May 17
aq_pm,2,,17318,21.073055555555555,,Jun 17
aq_pm,2,,17348,17.15819892473116,,Jul 17
aq_pm,2,,17379,17.810483870967747,,Aug 17
aq_pm,2,,17410,19.244583333333313,,Sep 17
aq_pm,2,,17440,19.97311827956985,,Oct 17
aq_pm,2,,17471,22.804583333333362,,Nov 17
aq_pm,2,,17501,17.50618279569893,,Dec 17
aq_pm,2,,17532,19.253360215053746,,Jan 18
aq_pm,2,,17563,23.483482142857138,,Feb 18
aq_pm,2,,17591,26.291532258064507,,Mar 18
aq_pm,2,,17622,25.677916666666682,,Apr 18
